epoch_num,batch_num,avg_train_loss,train_acc,avg_val_loss,val_acc
3,950,0.012829662370495497,0.9375,0.010937133660167455,0.9428
3,960,0.012257442786358297,0.925,0.009352099850773812,0.9546
3,970,0.017840027855709196,0.9,0.013929341927915811,0.913
3,980,0.01147032731678337,0.9125,0.017646600141748785,0.882
3,990,0.00856237430125475,0.96875,0.014693142849951983,0.9
3,1000,0.013699176767840982,0.91875,0.00977242573723197,0.9462
3,1010,0.009776095277629793,0.93125,0.009148255505412817,0.9516
3,1020,0.007971897069364787,0.95,0.012183801245689392,0.9242
3,1030,0.013028232450596988,0.94375,0.011028207091614605,0.9354
3,1040,0.018266623583622278,0.8625,0.016143538589030504,0.8968
3,1050,0.00850356169976294,0.95625,0.011619158624112606,0.926
3,1060,0.00798585955053568,0.9625,0.008774496253207326,0.9504
3,1070,0.006233779597096145,0.9625,0.008574227852374315,0.953
3,1080,0.009287495445460082,0.96875,0.015806648970395326,0.9086
3,1090,0.010487229406135157,0.9375,0.012990520245209336,0.9298
3,1100,0.014912223350256682,0.9,0.0319896734289825,0.8
3,1110,0.016851294692605732,0.9,0.009620595470815898,0.9474
3,1120,0.006629255786538124,0.9625,0.00994620910063386,0.9434
3,1130,0.009107623179443181,0.95625,0.017424473410099745,0.88
3,1140,0.011022546072490513,0.95,0.008563342893868685,0.955
3,1150,0.015672980388626457,0.90625,0.019225754880905152,0.881
3,1160,0.01773255770094693,0.89375,0.015855310164391994,0.893
3,1170,0.021643800614401697,0.875,0.015207174853608013,0.8978
3,1180,0.011314177978783846,0.9375,0.012679383287206292,0.9312
3,1190,0.008933114958927036,0.9375,0.010294398132711649,0.9438
3,1200,0.0068340924102813,0.975,0.009242699123173952,0.9534
3,1210,0.004217264126054943,0.9875,0.011666508296132088,0.9368
3,1220,0.010076906671747566,0.94375,0.008745634417794645,0.956
3,1230,0.004209023085422814,0.98125,0.013645568908378482,0.923
3,1240,0.009154845494776964,0.9625,0.008310470469854772,0.9558
3,1250,0.010243179649114609,0.93125,0.009339837991818785,0.951
3,1260,0.0112819311209023,0.9375,0.015878145598247646,0.8958
3,1270,0.009509645751677454,0.94375,0.010770548566430806,0.9386
3,1280,0.006276738655287772,0.96875,0.020725412178784607,0.8492
3,1290,0.00876140659675002,0.94375,0.00889461247678846,0.9486
3,1300,0.008331303438171744,0.9625,0.00883970816154033,0.953
3,1310,0.01039718920364976,0.95,0.009182485550642014,0.952
3,1320,0.005867160018533468,0.9625,0.009720597653836012,0.9418
3,1330,0.006211568810977041,0.96875,0.012565312816947699,0.9204
3,1340,0.012687307549640536,0.925,0.013277611666545272,0.923
3,1350,0.008452038513496518,0.95625,0.011791340110823513,0.9352
3,1360,0.01265611215494573,0.90625,0.009369952262192964,0.9508
3,1370,0.012183786719106138,0.925,0.014441738439910114,0.9036
3,1380,0.00578211136162281,0.975,0.008492149467393757,0.9498
3,1390,0.007611608842853457,0.95625,0.009057709737494589,0.9458
3,1400,0.007347094512078911,0.9625,0.012316686199605464,0.9328
3,1410,0.01003055723849684,0.94375,0.017448224737867713,0.8946
3,1420,0.007400442124344408,0.95625,0.008532687297463417,0.9574
3,1430,0.009674360859207809,0.9625,0.009101631201803684,0.9486
3,1440,0.00477784164249897,0.98125,0.0074647643091157075,0.9624
3,1450,0.00747981381136924,0.94375,0.0076686473235487934,0.9596
3,1460,0.00950912933330983,0.95,0.008655164185352624,0.949
3,1470,0.007128972001373768,0.975,0.007576100336387753,0.9586
3,1480,0.006837009487207979,0.96875,0.010091082692146302,0.9382
3,1490,0.009436612098943442,0.9375,0.011183601591922342,0.9318
3,1500,0.013995675812475383,0.90625,0.007810087867081165,0.9564
3,1510,0.012801238195970654,0.91875,0.013121549566462635,0.9112
3,1520,0.009538886835798621,0.95,0.009736516044288874,0.9484
